Dealer_Name,Base_URL,Platform
Cerrone, https://www.chevroletbuickgmcofattleboro.com/new-inventory/index.htm, DDC
Paul Masse,
Tasca, 
Hurd,
McKay,
Imperial,
Nucar, 
Copeland
